번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),업무구분명,상세업무구분명,권리주체일련번호,총직원수
94,동물위탁관리업,02_03_10_P,3150000,3.15e+17,2023-01-27,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강서,"서울특별시 강서구 화곡로**길 **, *층 (화곡동)",7657.0,투퍼피,2023-01-27 14:05,I,2023-01-29 0:40,,186891.7665,450057.8618,동물위탁관리업,동물위탁관리업,0,0
95,동물위탁관리업,02_03_10_P,3120000,3.12e+17,2022-12-12,,1,영업/정상,0,정상,,,,,02-6956-9961,0.0,,서울특별시 서대문,"서울특별시 서대문구 증가로 **, *,*,*층 (연희동)",3702.0,연희윌라이프펫,2022-12-12 10:41,I,2022-12-14 0:40,,193617.4786,452265.4332,동물위탁관리업,동물위탁관리업,0,0
110,동물위탁관리업,02_03_10_P,3150000,3.15e+17,2022-12-08,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강서,"서울특별시 강서구 강서로**가길 **, 아림빌딩 *층 ***호 (화곡동)",7705.0,묘한호텔,2022-12-08 9:33,I,2022-12-10 0:40,,185410.6795,449443.8171,동물위탁관리업,동물위탁관리업,0,0
127,동물위탁관리업,02_03_10_P,3200000,3.2e+17,2022-12-01,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 관악,"서울특별시 관악구 봉천로**길 **, *층 (봉천동)",8750.0,쪼꼬망댕,2022-12-01 14:50,I,2022-12-03 0:39,,194787.1942,442629.8771,동물위탁관리업,동물위탁관리업,0,0
132,동물위탁관리업,02_03_10_P,3240000,3.24e+17,2022-11-30,,1,영업/정상,0,정상,,,,,02-471-8825,0.0,,서울특별시 강동,"서울특별시 강동구 양재대로**가길 **, 키키빌딩 *층 (성내동)",5405.0,포포앤미루 강동점,2022-11-30 14:23,I,2022-12-03 0:39,,211797.4526,447012.9907,동물위탁관리업,동물위탁관리업,0,0
149,동물위탁관리업,02_03_10_P,3240000,3.24e+17,2022-12-07,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강동,"서울특별시 강동구 천중로 ***, 자유빌딩 *층 (길동)",5304.0,열려라참깨 강아지유치원,2022-12-07 13:15,I,2022-12-09 0:40,,212874.348,448744.8795,동물위탁관리업,동물위탁관리업,0,0
153,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2022-11-23,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,"서울특별시 은평구 대서문길 **, *층 (진관동)",3307.0,북한산댕댕이들,2022-11-23 18:18,I,2022-11-25 0:22,,195541.9918,461398.8146,동물위탁관리업,동물위탁관리업,0,0
155,동물위탁관리업,02_03_10_P,3230000,3.23e+17,2022-11-30,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 송파,"서울특별시 송파구 가락로 ***, ***호 (송파동)",5664.0,꼬순 유치원,2022-11-30 15:29,I,2022-12-02 0:40,,209999.1178,444657.9255,동물위탁관리업,동물위탁관리업,0,0
157,동물위탁관리업,02_03_10_P,3080000,3.08e+17,2022-12-13,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강북,"서울특별시 강북구 도봉로***길 **-**(수유동, 성우스타팰리스)",1055.0,살랑애견미용실,2022-12-13 13:41,I,2022-12-15 0:40,,202433.9,460114.4125,동물위탁관리업,동물위탁관리업,0,0
182,동물위탁관리업,02_03_10_P,3060000,3.06e+17,2022-12-22,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 중랑,"서울특별시 중랑구 면목로 ***, *층 (면목동)",2205.0,춘이네 멍치원,2022-12-22 10:43,I,2022-12-24 0:40,,207739.7592,453787.2932,동물위탁관리업,동물위탁관리업,0,0
185,동물위탁관리업,02_03_10_P,3030000,3.03e+17,2023-01-06,,1,영업/정상,0,정상,,,,,02-499-5955,0.0,,서울특별시 성동,"서울특별시 성동구 상원*길 **, 굿타워 *층 (성수동*가)",4779.0,펌킨 펫하우스 서울숲,2023-01-06 9:22,I,2023-01-08 0:40,,204220.3297,449266.7736,동물위탁관리업,동물위탁관리업,L00,0
208,동물위탁관리업,02_03_10_P,3200000,3.2e+17,2022-11-16,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 관악,"서울특별시 관악구 남부순환로 ****-*, *층 ***호 (봉천동, 더게이트)",8801.0,하이도기,2022-11-16 15:45,I,2022-11-18 0:22,,196728.7632,441720.7799,동물위탁관리업,동물위탁관리업,0,0
214,동물위탁관리업,02_03_10_P,3210000,3.21e+17,2022-11-17,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 서초,"서울특별시 서초구 도구로 **, 지하*층 (방배동)",6675.0,푸푸린 애견카페,2022-11-17 17:30,I,2022-11-19 0:22,,198680.7226,442497.4649,동물위탁관리업,동물위탁관리업,0,0
224,동물위탁관리업,02_03_10_P,3060000,3.06e+17,2022-12-30,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 중랑,"서울특별시 중랑구 신내역로 ***, 신내우디안프라자 *층 (신내동)",2055.0,나이트레이닝,2022-12-30 15:04,I,2023-01-01 0:40,,209335.7119,457500.7263,동물위탁관리업,동물위탁관리업,0,0
274,동물위탁관리업,02_03_10_P,3080000,3.08e+17,2022-09-29,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강북,서울특별시 강북구 삼양로**길 *(수유동),1087.0,로엘유치원,2022-09-29 10:47,I,2022-10-01 0:22,,201427.1469,459431.8167,동물위탁관리업,동물위탁관리업,0,0
278,동물위탁관리업,02_03_10_P,3150000,3.15e+17,2022-09-29,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강서,"서울특별시 강서구 개화동로**길 **, 마곡 킹덤 펜타리움 ***동 ***호 (방화동)",7620.0,웬디스 원더랜드(펜타리움점),2022-09-29 13:17,I,2022-10-01 0:22,,183054.2737,451360.7805,동물위탁관리업,동물위탁관리업,0,0
283,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2022-09-29,,1,영업/정상,0,정상,,,,,02-306-9990,0.0,,서울특별시 은평,"서울특별시 은평구 수색로 ***, *층 ***호 (증산동, DMC센트럴자이)",3506.0,정든동물병원,2022-09-29 14:05,I,2022-10-01 0:22,,191337.2733,453194.5377,동물위탁관리업,동물위탁관리업,0,0
306,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2022-11-01,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 영등포,"서울특별시 영등포구 신길로 ***, *층 (영등포동)",7307.0,유니독,2022-11-01 15:47,I,2022-11-03 0:22,,192008.8283,445656.3542,동물위탁관리업,동물위탁관리업,0,0
308,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-10-07,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 봉은사로**길 **-**, B***호 (역삼동)",6146.0,다독펫케어센터,2022-10-24 10:31,U,2022-10-26 2:40,,203698.7826,444825.7552,동물위탁관리업,동물위탁관리업,0,0
309,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-10-07,,1,영업/정상,0,정상,,,,,02-445-3693,0.0,,서울특별시 강남,"서울특별시 강남구 일원로*길 **, B*층 (일원동)",6343.0,1원더독 (1one the dog),2022-10-07 15:29,I,2022-10-09 0:22,,207207.928,443245.629,동물위탁관리업,동물위탁관리업,0,0
322,동물위탁관리업,02_03_10_P,3060000,3.06e+17,2022-10-05,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 중랑,"서울특별시 중랑구 중랑역로 ***, *층 (묵동)",2004.0,댕댕이의 하루,2022-10-05 17:19,I,2022-10-07 0:22,,206603.6266,456627.069,동물위탁관리업,동물위탁관리업,0,0
327,동물위탁관리업,02_03_10_P,3230000,3.23e+17,2022-10-18,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 송파,"서울특별시 송파구 송파대로 ***, ***동 ***호 (문정동, 파크하비오)",5837.0,묘해,2022-10-18 8:59,I,2022-10-20 0:22,,210868.3975,442053.2279,동물위탁관리업,동물위탁관리업,0,0
339,동물위탁관리업,02_03_10_P,3240000,3.24e+17,2022-09-07,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강동,"서울특별시 강동구 성안로*길 **, ***호 (성내동)",5402.0,마이제이스,2022-09-07 13:46,I,2022-09-09 0:22,,211270.6936,447080.9067,동물위탁관리업,동물위탁관리업,0,0
341,동물위탁관리업,02_03_10_P,3040000,3.04e+17,2022-11-09,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 광진,"서울특별시 광진구 자양로*길 *, 지하 *층 (자양동)",5113.0,강사랑캣사랑,2022-11-09 9:06,I,2022-11-11 0:22,,207650.8882,447610.6194,동물위탁관리업,동물위탁관리업,0,0
348,동물위탁관리업,02_03_10_P,3080000,3.08e+17,2022-09-07,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강북,"서울특별시 강북구 한천로***길 **, *층 (번동)",1064.0,리리앤펫,2022-09-07 9:30,I,2022-09-09 0:22,,202305.3355,459507.057,동물위탁관리업,동물위탁관리업,0,0
363,동물위탁관리업,02_03_10_P,3200000,3.2e+17,2022-10-26,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 관악,"서울특별시 관악구 신림로**길 **, *층 (신림동)",8754.0,멍지트,2022-10-26 14:59,I,2022-10-28 0:22,,193830.042,442558.3453,동물위탁관리업,동물위탁관리업,0,0
375,동물위탁관리업,02_03_10_P,3240000,3.24e+17,2022-09-05,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강동,"서울특별시 강동구 아리수로**나길 **, 골드프라자 ***호 (강일동)",5415.0,포커스 온 펫,2022-09-05 10:08,I,2022-09-07 0:22,,215401.0642,452247.4319,동물위탁관리업,동물위탁관리업,0,0
376,동물위탁관리업,02_03_10_P,3240000,3.24e+17,2022-09-05,,1,영업/정상,0,정상,,,,,02-3013-1233,0.0,,서울특별시 강동,"서울특별시 강동구 고덕로**길 **, *층 (암사동)",5251.0,레인바우,2022-09-05 11:24,I,2022-09-07 0:22,,211398.0023,450149.4709,동물위탁관리업,동물위탁관리업,0,0
385,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2022-09-06,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,서울특별시 도봉구 덕릉로**가길 *(창동),1473.0,아름다운야옹_미야옹,2022-09-06 9:23,I,2022-09-08 0:22,,203299.9377,459496.6549,동물위탁관리업,동물위탁관리업,0,0
386,동물위탁관리업,02_03_10_P,3020000,3.02e+17,2022-10-17,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 용산,"서울특별시 용산구 서빙고로 **, ***호 (용산동*가, 파크타워아파트)",4385.0,쿠이다르,2022-10-17 11:44,I,2022-10-19 0:22,,197527.3097,446787.3448,동물위탁관리업,동물위탁관리업,0,0
387,동물위탁관리업,02_03_10_P,3200000,3.2e+17,2022-10-17,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 관악,"서울특별시 관악구 봉천로**가길 *, B*층 (봉천동)",8720.0,가치있개,2022-10-17 14:12,I,2022-10-19 0:22,,193924.0734,442902.3274,동물위탁관리업,동물위탁관리업,0,0
389,동물위탁관리업,02_03_10_P,3200000,3.2e+17,2022-10-06,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 관악,"서울특별시 관악구 봉천로 ***, *층 (신림동)",8707.0,도그루프탑,2022-10-06 12:23,I,2022-10-08 0:22,,193522.1385,442996.3449,동물위탁관리업,동물위탁관리업,0,0
395,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2022-10-19,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,"서울특별시 은평구 진관*로 **-**, ***동 지하*층 ***호 (진관동, 은평뉴타운우물골)",3306.0,살랑 그루밍,2022-10-19 13:44,I,2022-10-21 0:22,,193541.7486,459318.4048,동물위탁관리업,동물위탁관리업,0,0
412,동물위탁관리업,02_03_10_P,3230000,3.23e+17,2023-02-01,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 송파,"서울특별시 송파구 올림픽로**길 **, *층 (잠실동)",5563.0,도그존,2023-02-01 18:40,I,2023-02-03 0:41,,207285.5904,445215.0172,동물위탁관리업,동물위탁관리업,0,0
417,동물위탁관리업,02_03_10_P,3040000,3.04e+17,2022-08-19,,1,영업/정상,0,정상,,,,,02-457-4545,0.0,,서울특별시 광진,서울특별시 광진구 광나루로 ***(구의동),4976.0,광진동물의료센터,2022-08-19 9:52,I,2022-08-21 0:22,,207526.5902,449223.7496,동물위탁관리업,동물위탁관리업,0,0
420,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-08-15,,1,영업/정상,0,정상,,,,,262033050,0.0,,서울특별시 강남,"서울특별시 강남구 삼성로 ***, 코배가든 *층 (삼성동)",6165.0,도그어스 플래닛,2022-08-15 10:55,I,2022-08-17 0:22,,204776.08,445404.62,동물위탁관리업,동물위탁관리업,L00,0
421,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2022-07-27,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 양천,"서울특별시 양천구 남부순환로**길 **, *층 (신월동)",7916.0,멍캉스,2022-07-27 14:22,I,2022-07-29 0:22,,185161.7469,447286.1217,동물위탁관리업,동물위탁관리업,0,0
424,동물위탁관리업,02_03_10_P,3150000,3.15e+17,2022-07-28,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강서,"서울특별시 강서구 화곡로 ***, *,*층 (화곡동)",7678.0,멍블랑,2022-07-28 15:56,I,2022-07-30 0:22,,186319.5325,449441.7566,동물위탁관리업,동물위탁관리업,0,0
430,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-07-27,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 영동대로 ***, *층 (청담동)",6072.0,주식회사 펫타리움,2023-02-23 18:01,U,2023-02-25 2:40,,204802.9265,446693.1137,동물위탁관리업,동물위탁관리업,L00,0
435,동물위탁관리업,02_03_10_P,3100000,3.1e+17,2022-08-10,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 노원,"서울특별시 노원구 덕릉로***길 **, *층 (상계동)",1643.0,안나네,2022-08-10 14:38,I,2022-08-12 0:22,,207256.7931,463261.8647,동물위탁관리업,동물위탁관리업,0,0
845,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-07-08,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 도산대로**길 **, *층 (신사동)",6033.0,냥글냥글,2022-07-08 9:01,I,2022-07-10 0:22,,202212.4207,446678.7926,동물위탁관리업,동물위탁관리업,0,0
1609,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2022-07-21,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 성북,"서울특별시 성북구 북악산로 ***, *층 (정릉동)",2818.0,놀펫 강아지유치원 애견호텔 서울애견유치원 성북본원,2022-07-21 12:23,I,2022-07-23 0:22,,201417.3424,455304.7526,동물위탁관리업,동물위탁관리업,0,0
1684,동물위탁관리업,02_03_10_P,3150000,3.15e+17,2022-07-22,,1,영업/정상,0,정상,,,,,7041855551,0.0,,서울특별시 강서,"서울특별시 강서구 강서로**길 **, 현대교육센터 *층 (등촌동)",7586.0,라운지독,2022-07-22 15:27,I,2022-07-24 0:22,,186236.3993,451054.4371,동물위탁관리업,동물위탁관리업,0,0
1689,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-07-07,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 도산대로**길 **, *층 (청담동)",6015.0,퍼피랩 익스클루시브,2022-07-07 16:32,I,2022-07-09 0:22,,203939.2111,447055.0358,동물위탁관리업,동물위탁관리업,0,0
1690,동물위탁관리업,02_03_10_P,3170000,3.17e+17,2022-08-23,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 금천,"서울특별시 금천구 벚꽃로*길 **, 예일빌딩 *층 (독산동)",8607.0,체크인독,2022-08-23 9:46,I,2022-08-25 0:22,,190493.8158,439864.9727,동물위탁관리업,동물위탁관리업,0,0
1691,동물위탁관리업,02_03_10_P,3170000,3.17e+17,2022-08-23,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 금천,"서울특별시 금천구 시흥대로***길 **-**, 다온빌딩 *층 ***호 (독산동)",8539.0,몽쉘독,2022-08-23 9:47,I,2022-08-25 0:22,,191157.8567,441520.3153,동물위탁관리업,동물위탁관리업,0,0
1698,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-07-01,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 도산대로**길 **, *층 (논현동)",6055.0,댕브리데이,2022-07-01 9:54,I,2022-07-03 0:22,,203262.2602,446597.0724,동물위탁관리업,동물위탁관리업,0,0
1703,동물위탁관리업,02_03_10_P,3240000,3.24e+17,2022-07-29,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강동,"서울특별시 강동구 아리수로**길 **-**, *층 (고덕동)",5204.0,에듀펫 숲유치원,2022-07-29 11:16,I,2022-07-31 0:22,,212900.3751,451392.0706,동물위탁관리업,동물위탁관리업,L00,0
1816,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2018-10-17,,1,영업/정상,0,정상,,,,,26546183,0.0,,서울특별시 양천,서울특별시 양천구 목동동로**길 * (신정동),8014.0,노아동물병원,2022-04-28 18:10,I,2022-07-02 17:34,,188498.8896,446254.4703,동물위탁관리업,동물위탁관리업,0,0
1817,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2018-11-23,,1,영업/정상,0,정상,,,,,263385959,0.0,,서울특별시 양천,서울특별시 양천구 중앙로**길 ** (신정동),8085.0,몽몽바블펫#,2022-04-28 18:10,I,2022-07-02 17:34,,187251.318,446377.962,동물위탁관리업,동물위탁관리업,0,0
1818,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2019-01-23,,1,영업/정상,0,정상,,,,,02-2065-0353,0.0,,서울특별시 양천,"서울특별시 양천구 중앙로**길 *, *층 (신정동)",7942.0,뽀송하개,2022-04-28 18:10,I,2022-07-02 17:34,,186746.1502,447011.5155,동물위탁관리업,동물위탁관리업,0,0
1819,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2019-01-28,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 양천,"서울특별시 양천구 중앙로 ***, *층 (신정동)",8091.0,캣츠아일랜드,2022-04-28 18:10,I,2022-07-02 17:34,,187097.0461,446034.0002,동물위탁관리업,동물위탁관리업,0,0
1820,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2019-02-01,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 양천,서울특별시 양천구 곰달래로 ** (신월동),7923.0,알콩달콩 애견,2022-04-28 18:10,I,2022-07-02 17:34,,185436.2433,447544.7246,동물위탁관리업,동물위탁관리업,0,0
1821,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2019-05-27,,1,영업/정상,0,정상,,,,,26437953,0.0,,서울특별시 양천,"서울특별시 양천구 목동남로*길 **, 상가 비동 ***호 (신정동, 목동파크자이)",8102.0,스테이펫_호텔,2022-04-28 18:10,I,2022-07-02 17:34,,188334.6093,445250.4278,동물위탁관리업,동물위탁관리업,0,0
1822,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2019-07-16,,1,영업/정상,0,정상,,,,,26970034,0.0,,서울특별시 양천,서울특별시 양천구 목동중앙본로 ** (목동),7954.0,립독,2022-04-28 18:10,I,2022-07-02 17:34,,188334.4399,448773.3058,동물위탁관리업,동물위탁관리업,0,0
1823,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2019-08-14,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 양천,"서울특별시 양천구 목동서로 *** (목동, 목동신시가지아파트*단지)",7982.0,파리스동물병원,2022-12-12 9:45,U,2022-12-14 2:40,,188700.8512,448020.091,동물위탁관리업,동물위탁관리업,0,0
1824,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2019-09-10,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 양천,서울특별시 양천구 오목로 **-* (신월동),8031.0,너.애.개,2022-04-28 18:10,I,2022-07-02 17:34,,185760.9013,446575.3197,동물위탁관리업,동물위탁관리업,0,0
1825,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2019-11-27,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 양천,서울특별시 양천구 목동중앙남로*길 * (목동),7963.0,냥플레이스,2022-04-28 18:10,I,2022-07-02 17:34,,188213.3021,448224.5449,동물위탁관리업,동물위탁관리업,0,0
1826,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2019-12-11,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 양천,서울특별시 양천구 중앙로**길 ** (신월동),7936.0,예뻐지개,2022-04-28 18:10,I,2022-07-02 17:34,,186011.8244,446842.5069,동물위탁관리업,동물위탁관리업,0,0
1827,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2020-01-10,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 양천,서울특별시 양천구 중앙로**길 ** (신정동),8085.0,몽몽,2022-04-28 18:10,I,2022-07-02 17:34,,187277.4649,446380.1958,동물위탁관리업,동물위탁관리업,0,0
1828,동물위탁관리업,02_03_10_P,3140000,3.14e+17,2020-03-17,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 양천,"서울특별시 양천구 은행정로 **, 성은빌딩 *층 (신정동)",7938.0,이든반려견 문화센터,2022-09-22 14:34,U,2022-09-24 2:40,,187449.667,447331.5601,동물위탁관리업,동물위탁관리업,0,0
1829,동물위탁관리업,02_03_10_P,3170000,3.17e+17,2018-05-03,,1,영업/정상,0,정상,,,,,02-802-2811,0.0,,서울특별시 금천,"서울특별시 금천구 시흥대로 ***, 서우빌딩 *층 (시흥동)",8631.0,더조은동물의료센터,2022-04-28 18:10,I,2022-07-02 17:34,,191374.584,438600.4096,동물위탁관리업,동물위탁관리업,0,0
1830,동물위탁관리업,02_03_10_P,3170000,3.17e+17,2018-06-05,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 금천,"서울특별시 금천구 문성로 **, 남강카서비스 *층 (독산동)",8549.0,고양이무마취미용 고무미,2022-04-28 18:10,I,2022-07-02 17:34,,192006.4935,441676.0708,동물위탁관리업,동물위탁관리업,0,0
1831,동물위탁관리업,02_03_10_P,3170000,3.17e+17,2018-06-22,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 금천,"서울특별시 금천구 독산로**길 **, *층 (독산동)",8559.0,더 예쁘개,2022-04-28 18:10,I,2022-07-02 17:34,,191330.9348,440488.8039,동물위탁관리업,동물위탁관리업,0,0
1832,동물위탁관리업,02_03_10_P,3170000,3.17e+17,2018-08-27,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 금천,"서울특별시 금천구 시흥대로 **-*, *층 (시흥동)",8651.0,몽하우스,2022-04-28 18:10,I,2022-07-02 17:34,,191432.7449,437827.7271,동물위탁관리업,동물위탁관리업,0,0
1833,동물위탁관리업,02_03_10_P,3170000,3.17e+17,2018-09-18,,1,영업/정상,0,정상,,,,,02-808-2475,0.0,,서울특별시 금천,"서울특별시 금천구 시흥대로 ***, *층 ***호 (시흥동, 도일산호시티빌)",8614.0,금천24시 K동물의료센터,2022-04-28 18:10,I,2022-07-02 17:34,,191041.2382,439333.4213,동물위탁관리업,동물위탁관리업,0,0
